source,target,type
R-HSA-1640170,R-HSA-1632852,h
R-HSA-69278,R-HSA-1632852,h
R-HSA-162906,R-HSA-1632852,h
R-HSA-5620924,R-HSA-1632852,h
R-HSA-109581,R-HSA-1632852,h
R-HSA-109606,R-HSA-1632852,h
R-HSA-168256,R-HSA-1632852,h
R-HSA-168249,R-HSA-1632852,h
R-HSA-163685,R-HSA-1632852,h
R-HSA-163680,R-HSA-1632852,h
R-HSA-983231,R-HSA-1632852,h
R-HSA-69481,R-HSA-1632852,h
R-HSA-9711097,R-HSA-1632852,h
R-HSA-5693532,R-HSA-1632852,h
R-HSA-5619115,R-HSA-1632852,h
R-HSA-5621481,R-HSA-1632852,h
R-HSA-3858494,R-HSA-1632852,h
R-HSA-983712,R-HSA-1632852,h
R-HSA-9711123,R-HSA-1632852,h
R-HSA-422475,R-HSA-1632852,h
R-HSA-390466,R-HSA-1632852,h
R-HSA-9006925,R-HSA-1632852,h
R-HSA-5663202,R-HSA-1632852,h
R-HSA-388841,R-HSA-1632852,h
R-HSA-8953897,R-HSA-1632852,h
R-HSA-2262752,R-HSA-1632852,h
R-HSA-2559583,R-HSA-1632852,h
R-HSA-73894,R-HSA-1632852,h
R-HSA-9675135,R-HSA-1632852,h
R-HSA-9675136,R-HSA-1632852,h
R-HSA-74160,R-HSA-1632852,h
R-HSA-212436,R-HSA-1632852,h
R-HSA-1500931,R-HSA-1632852,h
R-HSA-430116,R-HSA-1632852,h
R-HSA-354192,R-HSA-1632852,h
R-HSA-354194,R-HSA-1632852,h
R-HSA-157858,R-HSA-1632852,h
R-HSA-9612973,R-HSA-9663891,h
R-HSA-9613829,R-HSA-9663891,h
R-HSA-9615710,R-HSA-9663891,h
R-HSA-5617833,R-HSA-9663891,h
R-HSA-5620924,R-HSA-9663891,h
R-HSA-5610787,R-HSA-9663891,h
R-HSA-3371556,R-HSA-9663891,h
R-HSA-69278,R-HSA-9663891,h
R-HSA-68886,R-HSA-9663891,h
R-HSA-9711123,R-HSA-9663891,h
R-HSA-9675108,R-HSA-9663891,h
R-HSA-422475,R-HSA-9663891,h
R-HSA-6798695,R-HSA-9663891,h
R-HSA-1483257,R-HSA-9663891,h
R-HSA-391251,R-HSA-9663891,h
R-HSA-390466,R-HSA-9663891,h
R-HSA-9006925,R-HSA-9663891,h
R-HSA-1257604,R-HSA-9663891,h
R-HSA-453274,R-HSA-9663891,h
R-HSA-3371497,R-HSA-9663891,h
R-HSA-9679506,R-HSA-9663891,h
R-HSA-168255,R-HSA-9663891,h
R-HSA-211000,R-HSA-9663891,h
R-HSA-5601884,R-HSA-9663891,h
R-HSA-2029480,R-HSA-9663891,h
R-HSA-168928,R-HSA-9663891,h
R-HSA-196854,R-HSA-9663891,h
R-HSA-8978934,R-HSA-9663891,h
R-HSA-202131,R-HSA-9663891,h
R-HSA-5620912,R-HSA-9663891,h
R-HSA-5357801,R-HSA-9663891,h
R-HSA-5218859,R-HSA-9663891,h
R-HSA-5213460,R-HSA-9663891,h
R-HSA-8939211,R-HSA-9663891,h
R-HSA-2173782,R-HSA-9663891,h
R-HSA-3000484,R-HSA-9663891,h
R-HSA-69615,R-HSA-9663891,h
R-HSA-453276,R-HSA-9663891,h
R-HSA-1234174,R-HSA-9663891,h
R-HSA-400253,R-HSA-9663891,h
R-HSA-6783310,R-HSA-9663891,h
R-HSA-73893,R-HSA-9663891,h
R-HSA-110314,R-HSA-9663891,h
R-HSA-5693606,R-HSA-9663891,h
R-HSA-5693538,R-HSA-9663891,h
R-HSA-5696398,R-HSA-9663891,h
R-HSA-5696399,R-HSA-9663891,h
R-HSA-69002,R-HSA-9663891,h
R-HSA-68867,R-HSA-9663891,h
R-HSA-5663084,R-HSA-9663891,h
R-HSA-5619084,R-HSA-9663891,h
R-HSA-9682385,R-HSA-9663891,h
R-HSA-5387390,R-HSA-9663891,h
R-HSA-9635486,R-HSA-9663891,h
R-HSA-8876384,R-HSA-9663891,h
R-HSA-9607240,R-HSA-9663891,h
R-HSA-1834949,R-HSA-9663891,h
R-HSA-9645460,R-HSA-9663891,h
