,node,aPDist,pIn_Degree,aEigenvector_Centrality,pDegree_Centrality,aDegree,aIn_Degree,aBetweenness_Centrality,pDegree,aDegree_Centrality,pCloseness_Centrality,pPagerank,pOut_Degree,aCloseness_Centrality,pBetweenness_Centrality,aOut_Degree,pEigenvector_Centrality,aPagerank,hallmark
23,ABR,11.266627275753306,0,2.71956184904173e-20,0.000317258883248731,2.0,0.0,0.0,2,0.00033288948069241003,0.0,3.38707495131675e-05,2,0.0,0.0,2.0,2.6598156925935396e-60,4.81339440286171e-05,181
24,ABT1,12.070271176568816,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,0
25,ACAA1,12.512900000001158,4,0.00290612520226078,0.000634517766497462,4.0,4.0,0.0,4,0.0006657789613848201,0.18714860702536396,4.47145021649608e-05,0,0.15781358938062198,0.0,0.0,3.32855780580738e-06,5.64665345663206e-05,0
26,ACACA,11.708685488434352,7,0.0012202711166932599,0.0012690355329949199,8.0,7.0,0.000357881250672824,8,0.0013315579227696401,0.186371883453166,0.000106913271359472,1,0.162257126765989,0.000123697240295694,1.0,2.26579810862085e-06,0.000180056818844045,0
27,ACACB,12.512900000001158,10,0.0012202711166932599,0.00206218274111675,7.0,7.0,0.0,13,0.00116511318242344,0.19190130914159,0.000378948207835961,3,0.162319146516756,2.5596577562566e-06,0.0,3.3288140069282507e-06,0.000180056818844045,8
28,ACADL,12.512900000001158,4,0.0023063711682706108,0.000634517766497462,4.0,4.0,0.0,4,0.0006657789613848201,0.189905151284686,5.15732032412379e-05,0,0.160372728667875,0.0,0.0,3.0481778127988997e-06,6.74775962214105e-05,0
29,ACADM,12.512900000001158,5,0.00306549763648983,0.000793147208121827,5.0,5.0,0.0,5,0.000832223701731025,0.18748024056051102,4.6394612891021995e-05,0,0.158394640887914,0.0,0.0,3.433695224060701e-06,5.91029595484162e-05,8
30,ACADVL,12.512900000001158,1,0.000159372434229047,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.162989731564772,3.5550860239228704e-05,0,0.140016222832083,0.0,0.0,1.05137418253318e-07,5.07703690107127e-05,0
31,ACAN,12.512900000001158,3,0.000144556573020863,0.000475888324873096,3.0,3.0,0.0,3,0.0004993342210386152,0.165266166297644,8.74146187759323e-05,0,0.141594781413763,0.0,0.0,3.30675073798287e-07,0.00012639584036498798,16
32,ACAP1,11.770897869862173,4,0.0011814155205682301,0.0012690355329949199,2.0,1.0,0.0,8,0.00033288948069241003,0.19053959766106401,0.00022957531282996293,4,0.157195242236122,9.24823842226518e-06,1.0,1.5766907092053601e-06,0.000128987641107334,0
33,ACAP2,11.769887984689934,1,0.0038860052274413298,0.000317258883248731,2.0,1.0,1.63682949646884e-06,2,0.00033288948069241003,0.20204949131613395,3.9691151045469396e-05,1,0.172061378923518,4.5257302177184203e-07,1.0,6.0331424947156896e-06,6.09078244428944e-05,0
34,ACCN2,12.512900000001158,1,1.01919628393076e-05,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.14329695158485098,3.931573399216569e-05,0,0.118910907445039,0.0,0.0,9.99494695436033e-09,5.45820223636299e-05,0
35,ACCN3,12.512900000001158,1,0.00017074334213296102,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.165570439824842,7.682967543847859e-05,0,0.14187869333861702,0.0,0.0,8.55958258128031e-08,0.00011697560027079399,0
36,ACD,12.509640905309864,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,64
37,ACE2,11.598101065069361,1,0.00048748464163279805,0.000317258883248731,2.0,1.0,1.38037082417145e-07,2,0.00033288948069241003,0.174124588254815,3.81355653763823e-05,1,0.151811716816478,1.1904974485627501e-07,1.0,2.69551168404524e-07,5.46618630370452e-05,561
38,ACHE,10.953879048094812,9,0.00794642034243148,0.0023794416243654803,15.0,9.0,0.000730333664964506,15,0.00249667110519308,0.221231326368174,0.00023769763362502797,6,0.187179011505422,0.000620762535199737,6.0,1.12200212939667e-05,0.000438952686575829,532
39,ACIN1,12.512900000001158,1,0.00126113365961697,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.188383523206835,4.26272604672182e-05,0,0.162769521245394,0.0,0.0,1.71208204134536e-06,6.81556596806414e-05,128
40,ACO1,12.512900000001158,1,3.34664571487319e-06,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.130228925336128,3.56442484328545e-05,0,0.11161941915284102,0.0,0.0,4.26064254644519e-10,5.06856950223548e-05,0
41,ACOT13,12.512900000001158,1,3.5354304037542395e-19,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.00015862944162436498,6.268370193005501e-05,0,0.00016644474034620502,0.0,0.0,8.511410216299318e-59,8.9091943461965e-05,0
42,ACOT7,12.512900000001158,1,9.57364738034322e-06,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.137145273385738,7.07249793055871e-05,0,0.11701872644434899,0.0,0.0,2.37495931006796e-09,0.000109797087557274,0
43,ACOX1,12.512900000001158,18,0.0178528319151796,0.00285532994923858,18.0,18.0,0.0,18,0.00299600532623169,0.224557299184376,0.000141154442122996,0,0.191412611635851,0.0,0.0,5.1236543703570503e-05,0.000212213934636905,0
44,ACOX2,12.512900000001158,5,0.00311325326615176,0.000793147208121827,5.0,5.0,0.0,5,0.000832223701731025,0.19150252212705102,5.37202169618e-05,0,0.161922029227116,0.0,0.0,4.07624218230736e-06,7.04549770656033e-05,0
45,ACOX3,12.512900000001158,5,0.00311325326615176,0.000793147208121827,5.0,5.0,0.0,5,0.000832223701731025,0.19150252212705102,5.37202169618e-05,0,0.161922029227116,0.0,0.0,4.07624218230736e-06,7.04549770656033e-05,0
46,ACP1,11.102910584124153,2,2.71956184904173e-20,0.00111040609137056,3.0,0.0,0.0,7,0.0004993342210386152,0.18407252725821302,5.64728294750639e-05,5,0.0,1.90323331340704e-06,3.0,2.82637752239572e-06,4.81339440286171e-05,0
47,ACP6,11.671127209186578,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,0
